city,state,country,shape,comments,latitude,longitude,date,time,datetime
swansea (uk/england),,United Kingdom,disk,Disk shaped craft seen moving silently from south west to the south east reflecting sunlight from the top of the craft.,51.633333,-3.966667,2012-05-22,16:40,2012-05-22 16:40
gwent (uk/wales),,United Kingdom,other,Very slow moving object&#44 when looking looking through binoculars the object was made up of two white lights.,51.666667,-3.0,2012-05-22,20:30,2012-05-22 20:30
chadwell st mary (choose state/prov) (uk/england),,Uk/england,formation,lights circling around central light&#33,51.481971,0.369876,2000-05-23,23:00,2000-05-23 23:00
manchester (uk/england),,United Kingdom,teardrop,there were two&#44 then there were four,53.5,-2.216667,2001-05-23,21:11,2001-05-23 21:11
st. andrews (uk/scotland),,United Kingdom,sphere,I was watching the events taking place on the turn (9th green and 10th fairway) on the St Andrews Old Course golf links where I sit for,56.333333,-2.783333,2006-05-23,11:00,2006-05-23 11:00
thornton heath (uk/england),,United Kingdom,rectangle,Now I see ufos nearly every day,51.4,-0.1,2010-05-23,18:15,2010-05-23 18:15
winchester (uk/england),,United Kingdom,other,Caterpillar of 4b orange orbs linked like atrain moving very fast in BW to SE direction over Winchester UK,51.016667,-1.316667,2001-05-24,00:57,2001-05-24 00:57
birmingham (uk/england),,United Kingdom,oval,Oval silver Craft,52.466667,-1.916667,2003-05-24,19:20,2003-05-24 19:20
zagreb (croatia),,Croatia,light,There has been only wan light. It where very higt&#44 and too fast for a plane on that altitude. The object move littel right&#44 and then li,45.815011,15.981919,2005-05-24,00:00,2005-05-24 00:00
blackburn&#44 lancashire (uk/england),,Uk/england,circle,A small black circle rises and then stops dead in front of cloud&#44there one moment gone the next.,53.748575,-2.487529,2006-05-24,15:45,2006-05-24 15:45
alton&#44 hampshire (uk/england),,Uk/england,light,strange slow moving white light which had no lights on it and made no sound moving overhead and out of sight,51.150719,-0.973177,2008-05-24,00:20,2008-05-24 00:20
thulba/oberthulba (germany),,Germany,triangle,I have found the Khoom Fay (Japanes) lanterns which are simular looking to what I/we saw&#44 however&#44 I do not beleive they were Balloons.,50.17903,9.919318,2008-05-24,11:30,2008-05-24 11:30
stoke-on-trent (uk/england),,United Kingdom,light,6 lights seen above local town slowly disapearing,53.0,-2.183333,2009-05-24,22:30,2009-05-24 22:30
