city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
waynesboro,va,United States,triangle,600.0,8-10 minutes,10/30/2006,38.0683333,-78.8897222,10/10/2006,16:00
unsure,ar,United States,fireball,2.0,a few seconds,12/7/2006,35.20105,-91.831833,10/10/2006,19:00
bray,ok,United States,other,360.0,6 mins,12/12/2009,34.6377778,-97.8172222,10/10/2006,20:00
plymouth (devonshire) (uk/england),,United Kingdom,formation,120.0,1-2 mins,10/30/2006,50.396389,-4.138611,10/10/2006,21:47
waycross,ga,United States,light,120.0,2 minutes,10/30/2006,31.2133333,-82.3541667,10/10/2006,22:40
wolfforth,tx,United States,disk,300.0,5 min,10/30/2006,33.5058333,-102.0086111,10/10/2006,22:50
lyndhurst,oh,United States,unknown,300.0,5 minutes,10/30/2006,41.52,-81.4888889,10/10/2006,23:00
lebanon,or,United States,light,14400.0,4 hours,11/28/2007,44.5366667,-122.9058333,10/10/2007,01:00
stockbridge,ga,United States,changing,3600.0,1 hour,11/28/2007,33.5441667,-84.2338889,10/10/2007,01:00
denver,co,United States,changing,2700.0,45 minutes+,11/28/2007,39.7391667,-104.9841667,10/10/2007,04:00
jacksonville,fl,United States,sphere,30.0,30 seconds,3/4/2008,30.3319444,-81.6558333,10/10/2007,04:30
indio,ca,United States,oval,600.0,10 min.,6/9/2009,33.7205556,-116.2147222,10/10/2007,06:00
owego,ny,United States,triangle,10800.0,3 hours,11/28/2007,42.1033333,-76.2625,10/10/2007,13:00
downingtown,pa,United States,circle,120.0,1 to 1 1/2 minutes,11/28/2007,40.0063889,-75.7036111,10/10/2007,18:33
austin,tx,United States,flash,3.0,3 seconds,11/28/2007,30.2669444,-97.7427778,10/10/2007,19:00
starrsville (covington),ga,United States,sphere,60.0,appx. 1 minute,6/12/2008,33.5394444,-83.8194444,10/10/2007,20:10
west palm beach florida,fl,United States,fireball,180.0,approx 3 mins,11/28/2007,26.705621,-80.03643,10/10/2007,20:24
conyers,ga,United States,unknown,3600.0,1 hour,11/28/2007,33.6675,-84.0177778,10/10/2007,20:30
vero beach,fl,United States,unknown,30.0,30 seconds,11/28/2007,27.6383333,-80.3975,10/10/2007,20:55
jensen beach,fl,United States,oval,120.0,2 mins,11/28/2007,27.2541667,-80.23,10/10/2007,21:00
houston,tx,United States,formation,35.0,35 seconds,11/28/2007,29.7630556,-95.3630556,10/10/2007,21:43
duluth,mn,United States,light,600.0,10 minutes,1/21/2008,46.7833333,-92.1063889,10/10/2007,22:00
fleming,co,United States,circle,600.0,10 minutes,11/28/2007,40.68,-102.8388889,10/10/2007,22:00
grove city,pa,United States,unknown,3600.0,1:00:00,1/21/2008,41.1577778,-80.0888889,10/10/2007,22:00
van alstyne,tx,United States,other,4.0,4 seconds,11/28/2007,33.4213889,-96.5769444,10/10/2007,22:00
northglenn,co,United States,triangle,15.0,15 seconds,11/28/2007,39.8855556,-104.9866667,10/10/2007,23:05
stord (norway),,Norway,light,600.0,10 min,1/21/2008,59.900209,5.282347,10/10/2007,23:20
london (canada),on,Canada,other,120.0,2 min. approx,6/9/2009,42.983333,-81.25,10/10/2008,02:00
north branch,mn,United States,light,300.0,5 min,10/31/2008,45.5113889,-92.98,10/10/2008,02:00
slingerlands,ny,United States,circle,240.0,4 min,10/31/2008,42.6291667,-73.865,10/10/2008,02:00
carlin,nv,United States,disk,600.0,10 mins,7/19/2010,40.7138889,-116.1030556,10/10/2008,04:00
