city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
exeter (uk/england),,United Kingdom,teardrop,30.0,30 seconds,2/14/2006,50.7,-3.533333,1/10/2006,01:00
helsby&#44 cheshire (uk/england),,United Kingdom,formation,20.0,20 sec,10/8/2007,53.273014,-2.769426,1/10/2007,18:12
rishton/blackburn&#44 lancashire (uk/england),,United Kingdom,unknown,2.0,2 seconds,1/21/2008,53.768509,-2.42362,1/10/2008,21:50
grimsby (uk/england),,United Kingdom,changing,240.0,4 min,12/12/2009,53.533333,-0.05,1/10/2009,19:00
bath (uk/england),,United Kingdom,circle,2.0,seconds,1/10/2009,51.379444,-2.365556,1/10/2009,22:00
kilmartin (uk/scotland),,United Kingdom,triangle,720.0,12 mins,2/14/2010,56.116667,-5.483333,1/10/2010,07:23
kent (uk/england),,United Kingdom,disk,300.0,5 minutes,10/10/2011,51.25,0.75,1/10/2011,11:10
swansea (uk/wales),,United Kingdom,other,600.0,10 mins,10/10/2011,51.633333,-3.966667,1/10/2011,19:30
pendle (uk/england),,United Kingdom,light,900.0,15 minutes,1/16/2014,53.845,-2.204,1/10/2014,16:30
liverpool (uk/england),,United Kingdom,cylinder,300.0,5mins,2/18/2001,53.416667,-3.0,11/10/1967,08:30
walton on thames surrey (uk/england),,United Kingdom,unknown,300.0,5 mins,12/2/2000,51.38847,-0.416969,11/10/2000,00:05
vilnius (lithuania),,Lithuania,unknown,1200.0,20 minutes,11/20/2002,54.687156,25.279651,11/10/2002,01:00
southmore&#44 oxforshire (uk/england),,United Kingdom,light,1.0,0ne second,11/20/2002,51.683525,-1.424906,11/10/2002,22:55
handforth&#44 wilmslow&#44 cheshire (uk/england),,United Kingdom,fireball,60.0,1 minute,1/10/2009,53.356083,-2.212708,11/10/2008,19:05
